edit_index,doc_name,node_ix_src,node_ix_tgt,gold,s_index,node_type_src,node_type_tgt,sec_node_src,sec_node_tgt,sec_id_src,sec_id_tgt,sec_title_src,sec_title_tgt
3410,465-ARR,465-ARR_v2_40,465-ARR_v1_38,"Modify,Clarity",4791,p,p,"465-ARR_v2_37,title","465-ARR_v1_35,title",3.3,3.3,Dynamic Knowledge-enhanced Mask Attention Module,Dynamic Knowledge-enhanced Mask Attention Module
3411,465-ARR,465-ARR_v2_42,465-ARR_v1_40,"Modify,Clarity",4792,p,p,"465-ARR_v2_37,title","465-ARR_v1_35,title",3.3,3.3,Dynamic Knowledge-enhanced Mask Attention Module,Dynamic Knowledge-enhanced Mask Attention Module
3412,465-ARR,465-ARR_v2_46,465-ARR_v1_45,"Modify,Clarity;Modify,Fact/Evidence",4793;4794,p,p,"465-ARR_v2_37,title","465-ARR_v1_35,title",3.3,3.3,Dynamic Knowledge-enhanced Mask Attention Module,Dynamic Knowledge-enhanced Mask Attention Module
3413,465-ARR,465-ARR_v2_52,,"Add,Fact/Evidence",4779,p,,"465-ARR_v2_37,title",,3.3,,Dynamic Knowledge-enhanced Mask Attention Module,
3414,465-ARR,465-ARR_v2_66,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",4780;4781;4782;4783;4784,p,,"465-ARR_v2_65,title",,4.1,,Datasets,
3415,465-ARR,465-ARR_v2_68,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",4785;4786;4787,p,,"465-ARR_v2_67,title",,4.2,,Implementation Details,
3416,465-ARR,465-ARR_v2_68,465-ARR_v1_64,"Modify,Grammar",4796,p,p,"465-ARR_v2_67,title","465-ARR_v1_63,title",4.2,4.2,Implementation Details,Implementation Details
3417,465-ARR,465-ARR_v2_68,465-ARR_v1_65,"Split+Identical;Split+Modify,Fact/Evidence",4797;4798,p,p,"465-ARR_v2_67,title","465-ARR_v1_63,title",4.2,4.2,Implementation Details,Implementation Details
3418,465-ARR,465-ARR_v2_78,465-ARR_v1_75,"Modify,Clarity",4799,p,p,"465-ARR_v2_76,title","465-ARR_v1_73,title",5,5,Results and Ablation Studies,Results and Ablation Studies
3419,465-ARR,465-ARR_v2_8,465-ARR_v1_7,"Modify,Clarity;Modify,Clarity",4800;4801,p,p,"465-ARR_v2_3,title","465-ARR_v1_3,title",1,1,Introduction,Introduction
3420,468-ARR,,468-ARR_v1_56,"Delete,Claim",4806,,p,,"468-ARR_v1_55,title",,6,,Future Work
3421,468-ARR,468-ARR_v2_12,468-ARR_v1_12,"Modify,Grammar",4834,p,p,"468-ARR_v2_11,title","468-ARR_v1_11,title",2.1,2.1,Machine Translation Quality Estimation,Machine Translation Quality Estimation
3422,468-ARR,468-ARR_v2_13,468-ARR_v1_13,"Modify,Fact/Evidence",4835,p,p,"468-ARR_v2_11,title","468-ARR_v1_11,title",2.1,2.1,Machine Translation Quality Estimation,Machine Translation Quality Estimation
3423,468-ARR,468-ARR_v2_18,468-ARR_v1_18,"Modify,Grammar;Modify,Clarity",4814;4836,p,p,"468-ARR_v2_14,title","468-ARR_v1_14,title",2.2,2.2,Bias Mitigation with Auxiliary Tasks,Bias Mitigation with Auxiliary Tasks
3424,468-ARR,468-ARR_v2_22,468-ARR_v1_22,"Modify,Fact/Evidence;Modify,Clarity",4815;4816,p,p,"468-ARR_v2_21,title","468-ARR_v1_21,title",3.1,3.1,Dataset,Dataset
3425,468-ARR,468-ARR_v2_27,,"Add,Claim",4807,p,,"468-ARR_v2_26,title",,3.3,,Partial Input Bias,
3426,468-ARR,468-ARR_v2_27,468-ARR_v1_27,"Modify,Clarity",4817,p,p,"468-ARR_v2_26,title","468-ARR_v1_26,title",3.3,3.3,Partial Input Bias,Partial Input Bias
3427,468-ARR,468-ARR_v2_28,468-ARR_v1_28,"Modify,Fact/Evidence",4818,p,p,"468-ARR_v2_26,title","468-ARR_v1_26,title",3.3,3.3,Partial Input Bias,Partial Input Bias
3428,468-ARR,468-ARR_v2_28,468-ARR_v1_29,"Modify,Clarity;Modify,Fact/Evidence",4819;4820,p,p,"468-ARR_v2_26,title","468-ARR_v1_26,title",3.3,3.3,Partial Input Bias,Partial Input Bias
3429,468-ARR,468-ARR_v2_33,468-ARR_v1_34,"Modify,Clarity",4821,p,p,"468-ARR_v2_31,title","468-ARR_v1_32,title",4.1,4.1,Supportive Approaches,Supportive Approaches
3430,468-ARR,468-ARR_v2_35,468-ARR_v1_36,"Modify,Clarity",4822,p,p,"468-ARR_v2_34,title","468-ARR_v1_35,title",4.2,4.2,Restrictive Approaches,Restrictive Approaches
3431,468-ARR,468-ARR_v2_41,468-ARR_v1_42,"Modify,Clarity",4823,p,p,"468-ARR_v2_40,title","468-ARR_v1_41,title",4.3.2,4.3.2,Debiased Focal Loss Architecture,Debiased Focal Loss Architecture
3432,468-ARR,468-ARR_v2_42,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",4808;4809;4810,p,,"468-ARR_v2_40,title",,4.3.2,,Debiased Focal Loss Architecture,
3433,468-ARR,468-ARR_v2_5,468-ARR_v1_5,"Modify,Fact/Evidence",4826,p,p,"468-ARR_v2_3,title","468-ARR_v1_3,title",1,1,Introduction,Introduction
3434,468-ARR,468-ARR_v2_53,468-ARR_v1_54,"Split+Modify,Fact/Evidence;Split+Modify,Claim;Merge+Modify,Clarity;Merge+Modify,Clarity",4824;4825;4827;4828,p,p,"468-ARR_v2_49,title","468-ARR_v1_50,title",5.2,5.2,Comparison of the Four Approaches,Comparison of the Four Approaches
3435,468-ARR,468-ARR_v2_55,,"Add,Claim",4811,p,,"468-ARR_v2_54,title",,6,,Future Work,
3436,468-ARR,468-ARR_v2_55,468-ARR_v1_56,"Modify,Clarity;Modify,Clarity",4829;4830,p,p,"468-ARR_v2_54,title","468-ARR_v1_55,title",6,6,Future Work,Future Work
3437,468-ARR,468-ARR_v2_56,,"Add,Claim;Add,Claim",4812;4813,p,,"468-ARR_v2_54,title",,6,,Future Work,
3438,468-ARR,468-ARR_v2_56,468-ARR_v1_56,"Modify,Claim;Merge+Modify,Claim;Merge+Modify,Claim",4831;4832;4833,p,p,"468-ARR_v2_54,title","468-ARR_v1_55,title",6,6,Future Work,Future Work
3439,47-ARR,47-ARR_v2_2,47-ARR_v1_2,"Modify,Clarity;Modify,Fact/Evidence",4872;4879,p,p,"47-ARR_v2_1,abstract","47-ARR_v1_1,abstract",,,Abstract,Abstract
3440,47-ARR,47-ARR_v2_25,,"Add,Fact/Evidence",4837,p,,"47-ARR_v2_24,title",,3.1,,Preliminary Stage,
3441,47-ARR,47-ARR_v2_25,47-ARR_v1_25,"Modify,Clarity",4873,p,p,"47-ARR_v2_24,title","47-ARR_v1_24,title",3.1,3.1,Preliminary Stage,Preliminary Stage
3442,47-ARR,47-ARR_v2_25,47-ARR_v1_26,"Modify,Clarity;Modify,Grammar",4874;4875,p,p,"47-ARR_v2_24,title","47-ARR_v1_24,title",3.1,3.1,Preliminary Stage,Preliminary Stage
3443,47-ARR,47-ARR_v2_25,47-ARR_v1_27,"Modify,Clarity",4876,p,p,"47-ARR_v2_24,title","47-ARR_v1_24,title",3.1,3.1,Preliminary Stage,Preliminary Stage
3444,47-ARR,47-ARR_v2_27,47-ARR_v1_29,"Modify,Clarity",4877,p,p,"47-ARR_v2_26,title","47-ARR_v1_28,title",3.2,3.2,Main Stage Applying BUS-stop,Main Stage Applying BUS-stop
3445,47-ARR,47-ARR_v2_29,47-ARR_v1_31,"Modify,Clarity;Modify,Clarity;Modify,Clarity;Modify,Clarity;Modify,Grammar;Modify,Claim",4878;4880;4881;4882;4883;4884,p,p,"47-ARR_v2_26,title","47-ARR_v1_30,title",3.2,2.,Main Stage Applying BUS-stop,The unlabeled set is predicted at every epoch during training.
3446,47-ARR,47-ARR_v2_35,47-ARR_v1_39,"Modify,Fact/Evidence;Modify,Fact/Evidence",4885;4886,p,p,"47-ARR_v2_33,title","47-ARR_v1_37,title",3.3,3.3,Calibration of Class Distribution,Calibration of Class Distribution
3447,47-ARR,47-ARR_v2_43,47-ARR_v1_47,"Modify,Grammar",4887,p,p,"47-ARR_v2_42,title","47-ARR_v1_46,title",4.1,4.1,Datasets,Datasets
3448,47-ARR,47-ARR_v2_55,47-ARR_v1_59,"Modify,Clarity;Modify,Clarity",4888;4889,p,p,"47-ARR_v2_44,title","47-ARR_v1_48,title",4.2,4.2,Methods for Comparison,Methods for Comparison
3449,47-ARR,47-ARR_v2_57,47-ARR_v1_61,"Modify,Fact/Evidence",4890,p,p,"47-ARR_v2_56,title","47-ARR_v1_60,title",4.3,4.3,Implementation,Implementation
3450,47-ARR,47-ARR_v2_57,47-ARR_v1_62,"Modify,Fact/Evidence",4892,p,p,"47-ARR_v2_56,title","47-ARR_v1_60,title",4.3,4.3,Implementation,Implementation
3451,47-ARR,47-ARR_v2_62,,"Add,Fact/Evidence",4838,p,,"47-ARR_v2_59,title",,5.1,,Balanced Classification,
3452,47-ARR,47-ARR_v2_62,47-ARR_v1_66,"Modify,Clarity;Modify,Claim;Modify,Clarity",4893;4894;4895,p,p,"47-ARR_v2_59,title","47-ARR_v1_65,title",5.1,5.1,Balanced Classification,Balanced Classification
3453,47-ARR,47-ARR_v2_64,,"Add,Fact/Evidence;Add,Fact/Evidence",4839;4840,p,,"47-ARR_v2_63,title",,5.2,,Imbalanced Classification,
3454,47-ARR,47-ARR_v2_69,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",4841;4842;4843;4844;4845;4846,p,,"47-ARR_v2_66,title",,6,,Discussion,
3455,47-ARR,47-ARR_v2_7,47-ARR_v1_7,"Modify,Clarity;Modify,Clarity;Modify,Clarity",4897;4898;4899,p,p,"47-ARR_v2_3,title","47-ARR_v1_3,title",1,1,Introduction,Introduction
3456,47-ARR,47-ARR_v2_7,47-ARR_v1_8,"Modify,Clarity;Modify,Clarity;Modify,Grammar",4900;4901;4902,p,p,"47-ARR_v2_3,title","47-ARR_v1_3,title",1,1,Introduction,Introduction
3457,47-ARR,47-ARR_v2_70,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Claim",4847;4848;4849;4850;4851,p,,"47-ARR_v2_66,title",,6,,Discussion,
3458,47-ARR,47-ARR_v2_71,,"Add,Claim;Add,Claim;Add,Claim;Add,Fact/Evidence;Add,Claim;Add,Claim;Add,Claim;Add,Fact/Evidence;Add,Claim;Add,Claim;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Claim",4852;4853;4854;4855;4856;4857;4858;4859;4860;4861;4862;4863;4864;4865;4866;4867;4868,p,,"47-ARR_v2_66,title",,6,,Discussion,
3459,47-ARR,47-ARR_v2_73,,"Add,Claim;Add,Claim;Add,Claim",4869;4870;4871,p,,"47-ARR_v2_72,title",,7,,Conclusion and Future Work,
3460,470-ARR,,470-ARR_v1_76,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",4903;4904;4905,,p,,"470-ARR_v1_74,title",,4.4,,Ablation Studies
3461,470-ARR,,470-ARR_v1_8,"Delete,Fact/Evidence",4912,,p,,"470-ARR_v1_3,title",,1,,Introduction
3462,470-ARR,,470-ARR_v1_85,"Delete,Fact/Evidence",4906,,p,,"470-ARR_v1_79,title",,4.5,,Discussion and Conclusion
3463,470-ARR,,470-ARR_v1_88,"Delete,Claim;Delete,Fact/Evidence",4907;4908,,p,,"470-ARR_v1_79,title",,4.5,,Discussion and Conclusion
3464,470-ARR,,470-ARR_v1_89,"Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence",4909;4910;4911,,p,,"470-ARR_v1_79,title",,4.5,,Discussion and Conclusion
3465,470-ARR,470-ARR_v2_11,470-ARR_v1_11,"Modify,Fact/Evidence",4954,p,p,"470-ARR_v2_10,title","470-ARR_v1_10,title",2.1,2.1,Audio-Visual Speech Recognition,Audio-Visual Speech Recognition
3466,470-ARR,470-ARR_v2_15,470-ARR_v1_15,"Modify,Fact/Evidence",4955,p,p,"470-ARR_v2_14,title","470-ARR_v1_14,title",2.2,2.2,Self-Supervised Learning,Self-Supervised Learning
3467,470-ARR,470-ARR_v2_2,470-ARR_v1_2,"Modify,Clarity;Modify,Grammar;Modify,Clarity",4921;4931;4956,p,p,"470-ARR_v2_1,abstract","470-ARR_v1_1,abstract",,,Abstract,Abstract
3468,470-ARR,470-ARR_v2_20,470-ARR_v1_21,"Modify,Grammar;Modify,Grammar",4957;4958,p,p,"470-ARR_v2_18,title","470-ARR_v1_19,title",3.1,3.1,Front-ends,Front-ends
3469,470-ARR,470-ARR_v2_21,470-ARR_v1_22,"Modify,Grammar",4919,p,p,"470-ARR_v2_18,title","470-ARR_v1_19,title",3.1,3.1,Front-ends,Front-ends
3470,470-ARR,470-ARR_v2_25,470-ARR_v1_28,"Modify,Grammar",4920,p,p,"470-ARR_v2_22,title","470-ARR_v1_23,title",3.2,3.2,Back-ends,Back-ends
3471,470-ARR,470-ARR_v2_29,470-ARR_v1_34,"Modify,Clarity",4922,p,p,"470-ARR_v2_28,title","470-ARR_v1_33,title",3.3,3.3,Fusion Module,Fusion Module
3472,470-ARR,470-ARR_v2_31,470-ARR_v1_36,"Modify,Clarity",4924,p,p,"470-ARR_v2_30,title","470-ARR_v1_35,title",3.4,3.4,Decoders,Decoder
3473,470-ARR,470-ARR_v2_33,470-ARR_v1_38,"Modify,Grammar",4925,p,p,"470-ARR_v2_30,title","470-ARR_v1_35,title",3.4,3.4,Decoders,Decoder
3474,470-ARR,470-ARR_v2_4,470-ARR_v1_4,"Modify,Clarity",4935,p,p,"470-ARR_v2_3,title","470-ARR_v1_3,title",1,1,Introduction,Introduction
3475,470-ARR,470-ARR_v2_45,470-ARR_v1_50,"Modify,Fact/Evidence",4926,p,p,"470-ARR_v2_43,title","470-ARR_v1_48,title",3.6,3.6,Training Pipeline,Training Pipeline
3476,470-ARR,470-ARR_v2_46,470-ARR_v1_51,"Modify,Fact/Evidence;Modify,Grammar",4927;4928,p,p,"470-ARR_v2_43,title","470-ARR_v1_48,title",3.6,3.6,Training Pipeline,Training Pipeline
3477,470-ARR,470-ARR_v2_48,470-ARR_v1_53,"Modify,Clarity",4929,p,p,"470-ARR_v2_43,title","470-ARR_v1_48,title",3.6,3.6,Training Pipeline,Training Pipeline
3478,470-ARR,470-ARR_v2_56,470-ARR_v1_61,"Modify,Fact/Evidence",4930,p,p,"470-ARR_v2_55,title","470-ARR_v1_60,title",4.1,4.1,Dataset,Dataset
3479,470-ARR,470-ARR_v2_6,470-ARR_v1_6,"Modify,Clarity;Modify,Fact/Evidence",4951;4952,p,p,"470-ARR_v2_3,title","470-ARR_v1_3,title",1,1,Introduction,Introduction
3480,470-ARR,470-ARR_v2_60,470-ARR_v1_65,"Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Clarity",4932;4933;4934,p,p,"470-ARR_v2_58,title","470-ARR_v1_63,title",4.2,4.2,Experimental Settings,Experimental Settings
3481,470-ARR,470-ARR_v2_61,470-ARR_v1_66,"Modify,Grammar;Modify,Grammar;Modify,Grammar",4936;4937;4938,p,p,"470-ARR_v2_58,title","470-ARR_v1_63,title",4.2,4.2,Experimental Settings,Experimental Settings
3482,470-ARR,470-ARR_v2_64,470-ARR_v1_69,"Modify,Clarity",4939,p,p,"470-ARR_v2_63,title","470-ARR_v1_68,title",4.3,4.3,Results,Results
3483,470-ARR,470-ARR_v2_65,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",4913;4914;4915,p,,"470-ARR_v2_63,title",,4.3,,Results,
3484,470-ARR,470-ARR_v2_67,470-ARR_v1_71,"Modify,Fact/Evidence",4940,p,p,"470-ARR_v2_63,title","470-ARR_v1_68,title",4.3,4.3,Results,Results
3485,470-ARR,470-ARR_v2_68,470-ARR_v1_72,"Modify,Fact/Evidence;Modify,Clarity;Modify,Fact/Evidence",4942;4943;4944,p,p,"470-ARR_v2_63,title","470-ARR_v1_68,title",4.3,4.3,Results,Results
3486,470-ARR,470-ARR_v2_7,470-ARR_v1_7,"Modify,Clarity",4953,p,p,"470-ARR_v2_3,title","470-ARR_v1_3,title",1,1,Introduction,Introduction
3487,470-ARR,470-ARR_v2_71,470-ARR_v1_75,"Modify,Clarity",4945,p,p,"470-ARR_v2_70,title","470-ARR_v1_74,title",4.4,4.4,Ablation Studies,Ablation Studies
3488,470-ARR,470-ARR_v2_72,470-ARR_v1_75,"Modify,Grammar;Modify,Fact/Evidence;Modify,Grammar",4946;4947;4948,p,p,"470-ARR_v2_70,title","470-ARR_v1_74,title",4.4,4.4,Ablation Studies,Ablation Studies
3489,470-ARR,470-ARR_v2_73,470-ARR_v1_76,"Modify,Grammar",4949,p,p,"470-ARR_v2_70,title","470-ARR_v1_74,title",4.4,4.4,Ablation Studies,Ablation Studies
3490,470-ARR,470-ARR_v2_79,470-ARR_v1_82,"Modify,Clarity",4950,p,p,"470-ARR_v2_76,title","470-ARR_v1_79,title",4.5,4.5,Discussion and Conclusion,Discussion and Conclusion
3491,470-ARR,470-ARR_v2_80,,"Add,Claim;Add,Fact/Evidence;Add,Fact/Evidence",4916;4917;4918,p,,"470-ARR_v2_76,title",,4.5,,Discussion and Conclusion,
3492,473-ARR,,473-ARR_v1_72,"Delete,Fact/Evidence;Delete,Fact/Evidence",4959;4960,,p,,"473-ARR_v1_71,title",,4.2,,Chinese Dataset
3493,473-ARR,,473-ARR_v1_81,"Delete,Fact/Evidence",4961,,p,,"473-ARR_v1_80,title",,5.2,,Evaluation
3494,473-ARR,473-ARR_v2_14,473-ARR_v1_15,"Modify,Grammar;Modify,Grammar;Modify,Grammar",4988;4989;4990,p,p,"473-ARR_v2_12,title","473-ARR_v1_13,title",2.1,2.1,Definition Generation,Definition Generation
3495,473-ARR,473-ARR_v2_15,473-ARR_v1_16,"Modify,Grammar",4991,p,p,"473-ARR_v2_12,title","473-ARR_v1_13,title",2.1,2.1,Definition Generation,Definition Generation
3496,473-ARR,473-ARR_v2_18,473-ARR_v1_19,"Modify,Grammar",4993,p,p,"473-ARR_v2_16,title","473-ARR_v1_17,title",2.2,2.2,Sentence Simplification,Sentence Simplification
3497,473-ARR,473-ARR_v2_19,473-ARR_v1_20,"Modify,Claim",4995,p,p,"473-ARR_v2_16,title","473-ARR_v1_17,title",2.2,2.2,Sentence Simplification,Sentence Simplification
3498,473-ARR,473-ARR_v2_2,473-ARR_v1_2,"Modify,Fact/Evidence;Modify,Clarity;Modify,Clarity;Modify,Grammar",4969;4987;4992;4994,p,p,"473-ARR_v2_1,abstract","473-ARR_v1_1,abstract",,,Abstract,Abstract
3499,473-ARR,473-ARR_v2_26,473-ARR_v1_27,"Modify,Clarity;Modify,Clarity",4967;4968,p,p,"473-ARR_v2_25,title","473-ARR_v1_26,title",3.1,3.1,Task Formulation,Task Formulation
3500,473-ARR,473-ARR_v2_32,473-ARR_v1_33,"Merge+Modify,Clarity;Merge+Modify,Claim",4970;4971,p,p,"473-ARR_v2_30,title","473-ARR_v1_31,title",3.2,3.2,Multitasking Framework,Multitasking Framework
3501,473-ARR,473-ARR_v2_33,,"Add,Fact/Evidence",4962,p,,"473-ARR_v2_30,title",,3.2,,Multitasking Framework,
3502,473-ARR,473-ARR_v2_33,473-ARR_v1_34,"Modify,Grammar",4972,p,p,"473-ARR_v2_30,title","473-ARR_v1_31,title",3.2,3.2,Multitasking Framework,Multitasking Framework
3503,473-ARR,473-ARR_v2_37,473-ARR_v1_38,"Modify,Grammar",4973,p,p,"473-ARR_v2_34,title","473-ARR_v1_35,title",3.2.1,3.2.1,Definition Generation Task,Definition Generation Task
3504,473-ARR,473-ARR_v2_4,473-ARR_v1_4,"Modify,Fact/Evidence",4975,p,p,"473-ARR_v2_3,title","473-ARR_v1_3,title",1,1,Introduction,Introduction
3505,473-ARR,473-ARR_v2_5,473-ARR_v1_6,"Modify,Fact/Evidence;Modify,Grammar;Modify,Grammar",4982;4985;4986,p,p,"473-ARR_v2_3,title","473-ARR_v1_3,title",1,1,Introduction,Introduction
3506,473-ARR,473-ARR_v2_54,473-ARR_v1_56,"Modify,Grammar",4974,p,p,"473-ARR_v2_53,title","473-ARR_v1_55,title",3.3,3.3,Parameter-Sharing Scheme,Parameter-Sharing Scheme
3507,473-ARR,473-ARR_v2_59,473-ARR_v1_61,"Modify,Clarity",4976,p,p,"473-ARR_v2_53,title","473-ARR_v1_55,title",3.3,3.3,Parameter-Sharing Scheme,Parameter-Sharing Scheme
3508,473-ARR,473-ARR_v2_67,473-ARR_v1_69,"Modify,Clarity",4977,p,p,"473-ARR_v2_64,title","473-ARR_v1_66,title",4.1,4.1,English Dataset,English Dataset
3509,473-ARR,473-ARR_v2_75,473-ARR_v1_78,"Modify,Fact/Evidence",4978,p,p,"473-ARR_v2_74,title","473-ARR_v1_77,title",5.1,5.1,Settings,Settings
3510,473-ARR,473-ARR_v2_76,,"Add,Fact/Evidence;Add,Fact/Evidence",4963;4964,p,,"473-ARR_v2_74,title",,5.1,,Settings,
3511,473-ARR,473-ARR_v2_76,473-ARR_v1_79,"Modify,Fact/Evidence",4979,p,p,"473-ARR_v2_74,title","473-ARR_v1_77,title",5.1,5.1,Settings,Settings
3512,473-ARR,473-ARR_v2_87,473-ARR_v1_87,"Modify,Fact/Evidence;Modify,Clarity",4980;4981,p,p,"473-ARR_v2_86,title","473-ARR_v1_86,title",6.1,6.1,Main Results,Main Results
3513,473-ARR,473-ARR_v2_88,473-ARR_v1_88,"Modify,Fact/Evidence",4983,p,p,"473-ARR_v2_86,title","473-ARR_v1_86,title",6.1,6.1,Main Results,Main Results
3514,473-ARR,473-ARR_v2_91,473-ARR_v1_91,"Modify,Grammar",4984,p,p,"473-ARR_v2_90,title","473-ARR_v1_90,title",6.2,6.2,Ablation Study,Ablation Study
3515,473-ARR,473-ARR_v2_97,,"Add,Fact/Evidence;Add,Fact/Evidence",4965;4966,p,,"473-ARR_v2_96,title",,6.4,,Case Study,
3516,49-ARR,,49-ARR_v1_65,"Delete,Other;Delete,Claim",4996;4997,,p,,"49-ARR_v1_54,title",,7,,Conclusion
3517,49-ARR,49-ARR_v2_15,49-ARR_v1_16,"Modify,Clarity;Split+Modify,Fact/Evidence;Split+Modify,Clarity",5043;5044;5045,p,p,"49-ARR_v2_14,title","49-ARR_v1_15,title",3.2,3.2,Models,Models
3518,49-ARR,49-ARR_v2_16,49-ARR_v1_17,"Modify,Fact/Evidence",5046,p,p,"49-ARR_v2_14,title","49-ARR_v1_15,title",3.2,3.2,Models,Models
3519,49-ARR,49-ARR_v2_18,49-ARR_v1_19,"Modify,Fact/Evidence",5010,p,p,"49-ARR_v2_17,title","49-ARR_v1_18,title",3.3,3.3,Decoding mechanisms,Decoding mechanisms
3520,49-ARR,49-ARR_v2_19,49-ARR_v1_20,"Modify,Clarity",5011,p,p,"49-ARR_v2_17,title","49-ARR_v1_18,title",3.3,3.3,Decoding mechanisms,Decoding mechanisms
3521,49-ARR,49-ARR_v2_2,49-ARR_v1_2,"Modify,Clarity;Modify,Grammar",5019;5035,p,p,"49-ARR_v2_1,abstract","49-ARR_v1_1,abstract",,,Abstract,Abstract
3522,49-ARR,49-ARR_v2_22,,"Add,Fact/Evidence",4999,p,,"49-ARR_v2_20,title",,4,,Evaluation metrics,
3523,49-ARR,49-ARR_v2_22,49-ARR_v1_23,"Modify,Clarity;Modify,Fact/Evidence;Modify,Grammar",5012;5013;5014,p,p,"49-ARR_v2_20,title","49-ARR_v1_21,title",4,4,Evaluation metrics,Evaluation metrics
3524,49-ARR,49-ARR_v2_27,49-ARR_v1_28,"Modify,Clarity",5015,p,p,"49-ARR_v2_26,title","49-ARR_v1_27,title",5.1,5.1,LMs and decoding experiments,LMs and decoding experiments
3525,49-ARR,49-ARR_v2_28,49-ARR_v1_29,"Modify,Fact/Evidence;Modify,Fact/Evidence",5016;5017,p,p,"49-ARR_v2_26,title","49-ARR_v1_27,title",5.1,5.1,LMs and decoding experiments,LMs and decoding experiments
3526,49-ARR,49-ARR_v2_33,,"Add,Claim",5000,p,,"49-ARR_v2_29,title",,5.2,,Results of the first set of experiments,
3527,49-ARR,49-ARR_v2_39,,"Add,Claim",5001,p,,"49-ARR_v2_29,title",,5.2,,Results of the first set of experiments,
3528,49-ARR,49-ARR_v2_39,49-ARR_v1_40,"Modify,Claim",5020,p,p,"49-ARR_v2_29,title","49-ARR_v1_30,title",5.2,5.2,Results of the first set of experiments,Results of the first set of experiments
3529,49-ARR,49-ARR_v2_4,49-ARR_v1_5,"Modify,Clarity;Modify,Grammar",5018;5022,p,p,"49-ARR_v2_3,title","49-ARR_v1_3,title",1,1,Introduction,Introduction
3530,49-ARR,49-ARR_v2_40,49-ARR_v1_40,"Modify,Clarity",5021,p,p,"49-ARR_v2_29,title","49-ARR_v1_30,title",5.2,5.2,Results of the first set of experiments,Results of the first set of experiments
3531,49-ARR,49-ARR_v2_41,,"Add,Fact/Evidence;Add,Fact/Evidence",5002;5003,p,,"49-ARR_v2_29,title",,5.2,,Results of the first set of experiments,
3532,49-ARR,49-ARR_v2_49,49-ARR_v1_47,"Modify,Clarity",5024,p,p,"49-ARR_v2_43,title","49-ARR_v1_42,title",5.3,5.3,Leave One Target Out experiments,Leave One Target Out experiments
3533,49-ARR,49-ARR_v2_5,49-ARR_v1_6,"Modify,Fact/Evidence;Modify,Clarity;Modify,Clarity",5026;5032;5036,p,p,"49-ARR_v2_3,title","49-ARR_v1_3,title",1,1,Introduction,Introduction
3534,49-ARR,49-ARR_v2_53,49-ARR_v1_51,"Modify,Grammar;Modify,Clarity",5025;5027,p,p,"49-ARR_v2_51,title","49-ARR_v1_49,title",6,6,Automatic Post-Editing,Automatic Post-Editing
3535,49-ARR,49-ARR_v2_57,49-ARR_v1_56,"Modify,Grammar;Modify,Clarity",5028;5029,p,p,"49-ARR_v2_55,title","49-ARR_v1_54,title",7,7,Conclusion,Conclusion
3536,49-ARR,49-ARR_v2_59,,"Add,Fact/Evidence",5004,p,,"49-ARR_v2_55,title",,7,,Conclusion,
3537,49-ARR,49-ARR_v2_59,49-ARR_v1_58,"Modify,Clarity;Modify,Clarity",5030;5031,p,p,"49-ARR_v2_55,title","49-ARR_v1_54,title",7,7,Conclusion,Conclusion
3538,49-ARR,49-ARR_v2_64,49-ARR_v1_62,"Split+Modify,Claim;Split+Identical",5033;5034,p,p,"49-ARR_v2_55,title","49-ARR_v1_54,title",7,7,Conclusion,Conclusion
3539,49-ARR,49-ARR_v2_73,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",5005;5006;5007;5008;5009,p,,"49-ARR_v2_55,title",,7,,Conclusion,
3540,49-ARR,49-ARR_v2_8,49-ARR_v1_9,"Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Clarity;Modify,Grammar",5037;5038;5039;5040,p,p,"49-ARR_v2_6,title","49-ARR_v1_7,title",2,2,Related Work,Related Work
3541,49-ARR,49-ARR_v2_9,,"Add,Claim",4998,p,,"49-ARR_v2_6,title",,2,,Related Work,
3542,49-ARR,49-ARR_v2_9,49-ARR_v1_10,"Modify,Fact/Evidence;Modify,Fact/Evidence",5041;5042,p,p,"49-ARR_v2_6,title","49-ARR_v1_7,title",2,2,Related Work,Related Work
3543,5-1005,5-1005_v2_17,5-1005_v1_17,"Modify,Fact/Evidence",7505,p,p,"5-1005_v2_16,title","5-1005_v1_16,title",2.3,2.3,Cell culture,Cell culture
