,before,after,label
1043,Fig. [REF] shows an example of a Chimera-RBM ( a ) and a possible embedding of the pixels of an image into its visible units ( b ) .,Fig. [REF] shows an example of a Chimera-RBM ( a ) and a possible embedding of the pixels of an image into its visible units Fig. [REF] ( b ) .,Format
1044,Fig. [REF] shows an example of a Chimera-RBM ( a ) and a possible embedding of the pixels of an image into its visible units ( b ) .,Fig. [REF] shows an example of a Chimera-RBM ( a ) and a possible embedding of the pixels of an image into its visible units ( b ) shows .,Content
1045,Fig. [REF] shows an example of a Chimera-RBM ( a ) and a possible embedding of the pixels of an image into its visible units ( b ) .,Fig. [REF] shows an example of a Chimera-RBM ( a ) and a possible embedding of the pixels of an image into its visible units ( b ) ( cf. Ref. [CITATION] ) .,Format
1046,"In the random case , [MATH] is taken either as Bernoulli matrix having entries [MATH] with equal probability , or a Gaussian matrix consisting of i.i.d . [MATH] -Gaussian random variables in each entry .","In the random case , [MATH] is taken either as Bernoulli matrix having entries [MATH] with equal probability , or a Gaussian matrix consisting of i.i.d . [MATH] appearing -Gaussian random variables in each entry .",Lang-accurate-spefific
1047,"The good agreement shows that the theory is able to describe the two partial cross sections separately , without the need of some extra parameter .","The good agreement shows that the theory is able to describe the two partial cross sections separately , without the need of some extra parameter , and in agreement with isospin symmetry .",Content
1048,We call such a semi-metal phase with broken time-reversal symmetry a fractionalized ferromagnetic semi-metal ( fFM-SM ) .,We call such a semi-metal phase with broken time reversal symmetry a fractionalized ferromagnetic semi-metal ( fFM-SM ) .,Improve-grammar-Typo
1049,We call such a semi-metal phase with broken time-reversal symmetry a fractionalized ferromagnetic semi-metal ( fFM-SM ) .,We call such a semi-metal phase with broken time-reversal symmetry a fractionalized ferromagnetic semi-metal ( F-FMSM ) .,Improve-grammar-Typo
1050,Such a quadratic function corresponds to a gas-like vacuum .,Such a quadratic function corresponds to a gas-like vacuum [CITATION] .,Format
1051,"For each PE and list separately , [MATH] objects are sampled from the result of the preceding multiselection .","For each PE and list [MATH] separately , [MATH] objects are sampled from the result of the preceding multiselection .",Format
1052,"For each PE and list separately , [MATH] objects are sampled from the result of the preceding multiselection .","For each PE and list separately , [MATH] objects are sampled from the result of the preceding multiselection [MATH] .",Format
1053,"For each PE and list separately , [MATH] objects are sampled from the result of the preceding multiselection .","For each PE and list separately , [MATH] objects are sampled from .",Content
1054,"Two-body radiative decays can serve as a natural filter to exclude spin-0 candidates of Z particle , as the photon can only be transversely polarized .","Two-body radiative decays can serve as a natural filter to exclude spin-0 candidates of Z particles , as the photon can only be transversely polarized .",Improve-grammar-Typo
1055,The event selection efficiency is detector-module dependent and energy-dependant .,The event selection efficiency is mainly due to detector-module dependent and energy-dependant .,Content
1056,The event selection efficiency is detector-module dependent and energy-dependant .,The event selection efficiency is energy-dependant .,Content
1057,The event selection efficiency is detector-module dependent and energy-dependant .,The event selection efficiency is detector-module dependent and energy-dependent .,Improve-grammar-Typo
1058,"For example , the graphs Fig. [REF] ( a ) - ( e ) have a single vertex [MATH] , which couples together [MATH] projectile and [MATH] target cut "" fans "" .","For example , the graphs Fig. [REF] ( a ) - ( e ) have a single vertex [MATH] , which couples together [MATH] projectile and [MATH] target fan-like cut "" fans "" .",Lang-accurate-spefific
1059,"For example , the graphs Fig. [REF] ( a ) - ( e ) have a single vertex [MATH] , which couples together [MATH] projectile and [MATH] target cut "" fans "" .","For example , the graphs Fig. [REF] ( a ) - ( e ) have a single vertex [MATH] , which couples together [MATH] projectile and [MATH] target cut "" fans "" net .",Lang-accurate-spefific
1060,"Thus , this effect together with the correction to the Higgs mass lead us to argue that there is some alleviation of the fine tuning problem existing in the MSSM .","Thus , this effect together with the correction to the Higgs mass lead us to argue that there is some alleviation of the fine tuning problem existing in the MSSM with mGMSB .",Content
1061,In this paper we investigate the nonparametric estimation in continuous-state branching processes with immigration .,In this paper we investigate the nonparametric estimation in continuous-state branching processes with immigration ( CBI-processes ) .,Content
1062,The mini-batch settings and proximal settings are also straightforward extensions of our current work .,The proximal settings are also straightforward extensions of our current work .,Content
1063,Our flux is a factor of 1.7 larger than that reported by [CITATION] .,Our flux is a factor of 1.6 larger than that reported by [CITATION] .,Content
1064,"This obstacle may be overcome using isospin symmetry [CITATION] , which incorporates electroweak penguin contributions at a percent level [CITATION] but does not include small isospin breaking effects .","This obstacle may be overcome using isospin symmetry [CITATION] , which incorporates electroweak penguin contributions at a percent level [CITATION] but does not include small isospin breaking effects [CITATION] .",Format
1065,"For [MATH] , let [MATH] be a test function with [MATH] and [MATH] with [MATH] and [MATH] .","For [MATH] , let [MATH] be a test function with [MATH] and [MATH] with [MATH] and [MATH] , the space of smooth functions vanishing at infinity , [MATH] , .",Content
1066,"For [MATH] , let [MATH] be a test function with [MATH] and [MATH] with [MATH] and [MATH] .","For [MATH] , let [MATH] be a test function with [MATH] and [MATH] with [MATH] and [MATH] defined in the following way [EQUATION] .",Content
1067,"For [MATH] , let [MATH] be a test function with [MATH] and [MATH] with [MATH] and [MATH] .","For [MATH] , let [MATH] be a test function with [MATH] and [MATH] with [MATH] and [MATH] ",Format
1068,The recent identification of the perpendicular mode of radio polarization as the primary one in the Vela pulsar by Lai et al ( 2001 ) is interpreted in terms of the maser mechanism proposed by Luo Melrose ( 1995 ) .,The recent identification of the perpendicular mode of radio polarization as the primary one in the Vela pulsar by Lai et al. ( 2001 ) is interpreted in terms of the maser mechanism proposed by Luo Melrose ( 1995 ) .,Format
1069,"First , it does not depend on the parameter [MATH] of the matter EOS .","First , it does not depend on the parameter [MATH] of the matter EOS ( that is , the asymptotic solution appears to act as an "" attractor , "" which is also confirmed by the numerical results in the next subsection ) .",Content
1070,"For meson structure , this leads to a Hamiltonian with two channels - the ordinary valence quark channel and a new sea quark channel , which is an extension of the quark potential model .","For meson structure , this leads to a Hamiltonian with two channels - the ordinary valence quark channel and a new non-valence quark channel , which is an extension of the quark potential model .",Content
1071,"On the other hand , the advantages of using a single fit , and the equivalence of the results obtained with the single fit and the cells-on-objects technique , are evident .","On the other hand , the advantages of using a single fit , and the equivalence of the results obtained with the single-fit and the cells-on-objects technique , are evident .",Improve-grammar-Typo
1072,"On the other hand , the advantages of using a single fit , and the equivalence of the results obtained with the single fit and the cells-on-objects technique , are evident .","On the other hand , the advantages of using a single fit , and the equivalence of the results obtained with the single fit and the cells-on-objects techniques , are evident .",Improve-grammar-Typo
1073,"Furthermore , we study the Gibbs function and find characteristic swallow tail behavior , which indicates there is the phase transition .","Furthermore , we study the Gibbs function and find its characteristic swallow tail behavior , which indicates there is the phase transition .",Lang-accurate-spefific
1074,"Furthermore , we study the Gibbs function and find characteristic swallow tail behavior , which indicates there is the phase transition .","Furthermore , we study the Gibbs function and find characteristic swallow tail behavior , which indicates the phase transition .",Lang-improve-readability-Simplify
1075,A cell seeded in a 3D matrix initially applies tensile tractions to the matrix by undergoing uniform isotropic contraction while in an essentially spherical state .,A cell seeded in a 3D matrix initially applies tensile tractions to the fibers by undergoing uniform isotropic contraction while in an essentially spherical state .,Content
1076,"These solitonic solutions are naturally related to cosmological solutions by the so called DW/cosmology duality , a sort of analytic continuation , which maps the soliton in a FRW solution [CITATION] .","These solitonic solutions are naturally related to cosmological solutions by the so-called DW/cosmology duality , a sort of analytic continuation , which maps the soliton in a FRW solution [CITATION] .",Improve-grammar-Typo
1077,We also remark that the synchronous DGL has favorable memory usage compared to DDG and to the DNI method .,"We also remark that the synchronous Although not our focus , the single worker version of DGL has favorable memory usage compared to DDG and to the DNI method .",Content
1078,We also remark that the synchronous DGL has favorable memory usage compared to DDG and to the DNI method .,We also remark that the synchronous DGL has favorable memory usage compared to DDG and to the DNI method standard backprop training .,Content
1079,We also remark that the synchronous DGL has favorable memory usage compared to DDG and to the DNI method ., DGL has favorable memory usage compared to DDG and to the DNI method .,Content
1080,We also remark that the synchronous DGL has favorable memory usage compared to DDG and to the DNI method .,We also remark that the synchronous DGL has favorable memory usage compared to .,Content
1081,"One important part of their quantitative arguments is to show the absence of eigenvalues if the frequency can be approximated by a rational number well ( Gordon type potential in one dimension ) , which improved the previous results [CITATION] , obtaining sharp thresholds for the smallness of small denominators in terms of the Lyapunov exponents .","One important part of their quantitative arguments for discrete case is to show the absence of eigenvalues if the frequency can be approximated by a rational number well ( Gordon type potential in one dimension ) , which improved the previous results [CITATION] , obtaining sharp thresholds for the smallness of small denominators in terms of the Lyapunov exponents .",Content
1082,"One important part of their quantitative arguments is to show the absence of eigenvalues if the frequency can be approximated by a rational number well ( Gordon type potential in one dimension ) , which improved the previous results [CITATION] , obtaining sharp thresholds for the smallness of small denominators in terms of the Lyapunov exponents ."," their quantitative arguments is to show the absence of eigenvalues if the frequency can be approximated by a rational number well ( Gordon type potential in one dimension ) , which improved the previous results [CITATION] , obtaining sharp thresholds for the smallness of small denominators in terms of the Lyapunov exponents .",Content
1083,"One important part of their quantitative arguments is to show the absence of eigenvalues if the frequency can be approximated by a rational number well ( Gordon type potential in one dimension ) , which improved the previous results [CITATION] , obtaining sharp thresholds for the smallness of small denominators in terms of the Lyapunov exponents .","One important part of The quantitative arguments is to show the absence of eigenvalues if the frequency can be approximated by a rational number well ( Gordon type potential in one dimension ) , which improved the previous results [CITATION] , obtaining sharp thresholds for the smallness of small denominators in terms of the Lyapunov exponents .",Improve-grammar-Typo
1084,"We should point out however that these results hold only in the semiclassical diffusion approximation , i.e. , only in the leading order with respect to the inverse conductance [MATH] , which is an independent parameter of the model .","We should point out however that this result holds only in the semiclassical diffusion approximation , i.e. , only in the leading order with respect to the inverse conductance [MATH] , which is an independent parameter of the model .",Improve-grammar-Typo
1085,"For [MATH] fixed , there exists [MATH] such that [MATH] , then [REF] reads [EQUATION] .","For [MATH] fixed , As there exists [MATH] such that [MATH] , then [REF] reads [EQUATION] .",Improve-grammar-Typo
1086,"For [MATH] fixed , there exists [MATH] such that [MATH] , then [REF] reads [EQUATION] ."," there exists [MATH] such that [MATH] , then [REF] reads [EQUATION] .",Content
1087,"For [MATH] fixed , there exists [MATH] such that [MATH] , then [REF] reads [EQUATION] .","For [MATH] fixed , there exists [MATH] such that [MATH] , then [REF] reads [EQUATION] ",Format
1088,In this work we propose a strategy to overcome one of the main limitations when intending to use a quantum annealer to sample from Boltzmann distributions : the determination of effective temperatures in quantum annealers .,In this work we propose a strategy to overcome one of the main limitations when intending to use a quantum annealer to sample from Boltzmann distributions : the determination of effective temperatures .,Content
1089,In this work we propose a strategy to overcome one of the main limitations when intending to use a quantum annealer to sample from Boltzmann distributions : the determination of effective temperatures in quantum annealers .,In this work we proposed a strategy to overcome one of the main limitations when intending to use a quantum annealer to sample from Boltzmann distributions : the determination of effective temperatures in quantum annealers .,Improve-grammar-Typo
1090,"In order to calculate two-body scattering processes with charge or mass transfer , we generalize the formalism to include an additional scattering channel .","In order to calculate two-body scattering processes with charge or mass transfer , we can generalize the formalism to include an additional scattering channel .",Lang-accurate-spefific
1091,"Finally , we qualitatively evaluate our approach on the MPII Human Pose dataset [CITATION] to see success and failure cases in a challenging domain adaptation scenario .","Finally , we qualitatively evaluate our approach on the MPII Human Pose dataset [CITATION] a challenging domain adaptation scenario .",Content
1092,"Finally , we qualitatively evaluate our approach on the MPII Human Pose dataset [CITATION] to see success and failure cases in a challenging domain adaptation scenario ."," Then , we qualitatively evaluate our approach on the MPII Human Pose dataset [CITATION] to see success and failure cases in a challenging domain adaptation scenario .",Lang-accurate-spefific
1093,"Finally , we qualitatively evaluate our approach on the MPII Human Pose dataset [CITATION] to see success and failure cases in a challenging domain adaptation scenario .","Finally , we qualitatively evaluate our approach on the MPII Human Pose dataset [CITATION] to see success and failure cases in more challenging .",Lang-improve-readability-Simplify
1094,"To present our convergence results , we define the Lyapunov function : [EQUATION] for [EQUATION]", we define the Lyapunov function : [EQUATION] for [EQUATION],Content
1095,"To present our convergence results , we define the Lyapunov function : [EQUATION] for [EQUATION]","To present our convergence results , we define the Lyapunov function : [EQUATION] ",Format
1096,Thus ensuring all the classes used are outside the fold used in the test phase .,Thus ensuring all the classes used are outside the fold used in the evaluation phase .,Lang-professional-Improve-style
1097,For example a local detuning of the laser field could induce a rapidly oscillating gauge field .,"For example a local detuning of the laser field could induce a rapidly oscillating , gauge field .",Format
1098,"With the aid of Lemma [REF] , it follows that [EQUATION] that is , [EQUATION]"," By the monotonicity result in Lemma [REF] , it follows that [EQUATION] that is , [EQUATION]",Content
1099,"In all the confidence intervals , I use 5,000 bootstraps repetitions .","In all the confidence intervals use 5,000 bootstraps repetitions .",Improve-grammar-Typo
1100,"In all the confidence intervals , I use 5,000 bootstraps repetitions ."," all the confidence intervals , I use 5,000 bootstraps repetitions .",Improve-grammar-Typo
1101,"In all the confidence intervals , I use 5,000 bootstraps repetitions .","In all the confidence intervals , I use 5,000 bootstrap repetitions .",Improve-grammar-Typo
1102,A generalized real Bott manifold of is the total space [MATH] of an iterated fiber bundle : [EQUATION] where each [MATH] is the projectivization of a Whitney sum of [MATH] real line bundles over [MATH] .,A generalized real Bott manifold is the total space [MATH] of an iterated fiber bundle : [EQUATION] where each [MATH] is the projectivization of a Whitney sum of [MATH] real line bundles over [MATH] .,Improve-grammar-Typo
1103,"We chose to combine the assemblies from the Tophat1-Cufflinks assembly pipeline , that resulted in 1300 more transcript fragements corresponding to an cumulative increase of nearly 0.5million nt in length .", that resulted in 1300 more transcript fragements corresponding to an cumulative increase of nearly 0.5million nt in length .,Content
1104,"We chose to combine the assemblies from the Tophat1-Cufflinks assembly pipeline , that resulted in 1300 more transcript fragements corresponding to an cumulative increase of nearly 0.5million nt in length .","We chose to combine the assemblies from the Tophat1-Cufflinks assembly pipeline , This resulted in 1300 more transcript fragements corresponding to an cumulative increase of nearly 0.5million nt in length .",Improve-grammar-Typo
1105,"However , this improvement is probably not significant , in view of the estimated 5 relative error .","However , this improvement is probably not significant , in view of the estimated 5 relative error and the neglect of the different numbers of neutrons .",Content
1106,We constrain the most likely range of masses for the Milky Way and M31 using an application of the Numerical Action Method ( NAM ) that optimizes the fit to observed parameters over a large ensemble of NAM-generated solutions .,We constrain the most likely range of masses for the Milky Way ( MW ) and M31 using an application of the Numerical Action Method ( NAM ) that optimizes the fit to observed parameters over a large ensemble of NAM-generated solutions .,Lang-professional-Improve-style
1107,We constrain the most likely range of masses for the Milky Way and M31 using an application of the Numerical Action Method ( NAM ) that optimizes the fit to observed parameters over a large ensemble of NAM-generated solutions .,We constrain the most likely range of masses for the Milky Way and M31 using an application of the numerical action method ( NAM ) that optimizes the fit to observed parameters over a large ensemble of NAM-generated solutions .,Improve-grammar-Typo
1108,Figure [REF] shows the run-time performance of optimized substrings .,Figure [REF] shows the run-time performance of optimized substrings as a function of dataset size .,Content
1109,Figure [REF] shows the run-time performance of optimized substrings .,Figure [REF] shows the run-time behavior of optimized substrings .,Lang-accurate-spefific
1110,"To minimize random error from the random catalog , [MATH] should be used .","To minimize random error from the random catalog , [MATH] should be used ( for a different approach , see [CITATION] ) .",Content
1111,"Specific elements in the definition of accelerating fields , as it will become clear in the next section , distinguish them from the massive fields .",Specific elements in the definition of accelerating fields distinguish them from the massive fields .,Content
1112,"Of all phonon modes [MATH] of the supercell obtained with our first-principles approach [CITATION] , those with Pb character are taken into account , see Fig. 3 and 4 in Ref. [REF] .","Of all phonon modes [MATH] of the supercell obtained with our first-principles approach [CITATION] , those with Pb character are taken into account , see Fig. 6 in Ref. [REF] .",Format
1113,"Conversely , for the same physical system , different choices can be made for the time-scales that are mapped to physical values .","Conversely , for the same physical system , different choices can be made for the time-scales that are mapped to physical values , but by design , not all time-scales can be simultaneously resolved .",Content
1114,"Nevertheless , we may consider possibilities of that kind by combining multiple alignments as described in B ( Section 7.8.7 ) .","Nevertheless , we may consider possibilities of that kind by combining multiple alignments as described in BK ( Section 7.8.7 ) .",Format
1115,"Assuming that the TeV gamma-ray production region is located at a distance from the companion star of [MATH] cm ( i.e. the binary system size ) , and taking into account that gamma-rays are produced in deep Klein-Nishina ( KN ) regime with significantly suppressed cross-section , for the well known luminosity of the optical star [MATH] , one can estimate quite robustly the strength of the emitter magnetic field .","Assuming that the TeV gamma-ray production region is located at a distance from the companion star of [MATH] cm ( i.e. the binary system size ) , and taking into account that gamma-rays are produced in deep Klein-Nishina ( KN ) regime with significantly suppressed cross-section , for the well known luminosity the of the optical star [MATH] , one can estimate quite robustly the strength of the emitter magnetic field .",Improve-grammar-Typo
1116,"Assuming that the TeV gamma-ray production region is located at a distance from the companion star of [MATH] cm ( i.e. the binary system size ) , and taking into account that gamma-rays are produced in deep Klein-Nishina ( KN ) regime with significantly suppressed cross-section , for the well known luminosity of the optical star [MATH] , one can estimate quite robustly the strength of the emitter magnetic field .","Assuming that the TeV gamma-ray production region is located at a distance from the companion star of [MATH] cm ( i.e. the binary system size ) , and taking into account that gamma-rays are produced in deep Klein-Nishina ( KN ) regime with significantly suppressed cross-section , for the well known luminosity of the optical star [MATH] , one can estimate quite robustly the strength of the in the emission region magnetic field .",Lang-accurate-spefific
1117,Up to 70 drop is expected when an atom is coupled to the band edge mode of a photonic crystal waveguide as recently demonstrated in an experiment [CITATION] ; similar feedback can also be achieved by coupling to a resonator of high quality factor and moderate mode volume [CITATION] .,Up to 70 drop is expected when an atom is coupled to the band edge mode of a photonic crystal waveguide as recently demonstrated in an experiment [CITATION] .,Content
1118,"In the PandaX-I detector , both S1 and S2 light collections are dominated by the bottom 3-in PMTs , read out by five V1724 modules , each with its own 100 MHz MAJ output ( Sec. [REF] ) .","In the PandaX-I detector , both S1 and S2 light collections are dominated by the bottom 3-inch PMTs , read out by five V1724 modules , each with its own 100 MHz MAJ output ( Sec. [REF] ) .",Lang-professional-Improve-style
1119,These are the dotted lines in the bottom panels of figures [REF] and [REF] .,These are the dotted lines in the bottom panels of figures [REF] through [REF] .,Lang-accurate-spefific
1120,Degradation of an undulator brightness is determined by its local optics distortion which can be evaluated with Eq. [REF] .,Degradation of an undulatorís brightness is determined by its local optics distortion which can be evaluated with Eq. [REF] .,Improve-grammar-Typo
1121,Now we present the basic setup and some materials in random dynamical systems .,Now we present some basics of random dynamical systems .,Lang-accurate-spefific
1122,"If we can apply a similarity transform involving the inverse square root of the norm matrix , [MATH] , then in the new basis the adiabatic Hamiltonian is Hermitian , [EQUATION]","If we apply a similarity transform involving the inverse square root of the norm matrix , [MATH] , then in the new basis the adiabatic Hamiltonian is Hermitian , [EQUATION]",Lang-improve-readability-Simplify
1123,"This occurs when ( and only when ) the conserved density is a total [MATH] -derivative and the flux is a total [MATH] -derivative , related by [EQUATION] for all formal solutions [MATH] of equation [REF] , where [MATH] is some function of [MATH] , [MATH] , [MATH] and derivatives of [MATH] .","This occurs when ( and only when ) the conserved density is a total [MATH] -derivative and the flux is a total [MATH] -derivative , related by [EQUATION] for all solutions [MATH] of equation [REF] , where [MATH] is some function of [MATH] , [MATH] , [MATH] and derivatives of [MATH] .",Lang-improve-readability-Simplify
1124,"In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definable embedded in a linear group over an algebraically closed field of characteristic zero , and are not Zariski closed themselves .","In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definable embedded in a linear group over an algebraically closed field in a structure of characteristic zero , and are not Zariski closed themselves .",Content
1125,"In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definable embedded in a linear group over an algebraically closed field of characteristic zero , and are not Zariski closed themselves .","In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definable embedded in a linear group over an algebraically closed field of characteristic zero , and which are not Zariski closed themselves .",Improve-grammar-Typo
1126,"In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definable embedded in a linear group over an algebraically closed field of characteristic zero , and are not Zariski closed themselves .","In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definable embedded in a linear group over an algebraically closed field , and are not Zariski closed themselves .",Content
1127,"In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definable embedded in a linear group over an algebraically closed field of characteristic zero , and are not Zariski closed themselves .","In this paper , we clarify some middle ground between these two results by eliminating involutions from simple groups of finite Morley rank which are definably embedded in a linear group over an algebraically closed field of characteristic zero , and are not Zariski closed themselves .",Improve-grammar-Typo
1128,The modulation characteristics of the current [MATH] with gate voltage also change at this point from being 2e-periodic for [MATH] V to e-periodic for [MATH] V .,The modulation characteristics of the current [MATH] with gate voltage also changes at this point from being 2e-periodic for [MATH] V to e-periodic for [MATH] V .,Improve-grammar-Typo
1129,"As observed in that paper , this leaves open the question of whether tight quantum teleportation is possible in the case of a finite group of reference frame transformations .","As observed in that paper , this leaves open the question of whether tight quantum teleportation is possible in the case of a finite group of reference frame transformations , without additional resources or prior communication .",Content
1130,"As observed in that paper , this leaves open the question of whether tight quantum teleportation is possible in the case of a finite group of reference frame transformations .","As observed in that paper , this leaves open the question of whether quantum teleportation is possible in the case of a finite group of reference frame transformations .",Lang-improve-readability-Simplify
1131,The large emittance is often affecting the transmission of the ions in the beam line and depending on the requirements of the experimental setup cooling may be required .,"The large emittance is often affecting the transmission of the ions in the beam line and , depending on the requirements of the experimental setup cooling may be required .",Format
1132,The large emittance is often affecting the transmission of the ions in the beam line and depending on the requirements of the experimental setup cooling may be required .,"The large emittance is often affecting the transmission of the ions in the beam line and depending on the requirements of the experimental setup , cooling may be required .",Format
1133,"In particular , we have finished an analogy between the charged AdS black holes in the rainbow gravity in extending phase space and the liquid-gas system .","In particular , we have finished an analogy between the charged AdS black holes in the rainbow gravity and the liquid-gas system .",Content
1134,"In particular , we have finished an analogy between the charged AdS black holes in the rainbow gravity in extending phase space and the liquid-gas system .","In particular , is discussed an analogy between the charged AdS black holes in the rainbow gravity in extending phase space and the liquid-gas system .",Content
1135,The solutions are characterized by the condition [MATH] for which the late time solution is [MATH] .,The solutions are characterized by the condition [MATH] for which the late time ( fixed point ) solution is [MATH] .,Lang-accurate-spefific
1136,The most plausible scenario for the magnetic intensity lies in between scenarios B and C in Figs. [REF] and [REF] .,The most plausible scenario for the magnetic intensity lies in between scenarios B and C in Figs. [REF] .,Format
1137,The most plausible scenario for the magnetic intensity lies in between scenarios B and C in Figs. [REF] and [REF] .,The most plausible scenario for the magnetic intensity lies in between scenarios B and C in Fig. [REF] and [REF] .,Format
1138,A set-constraint atom is a constraint of the form [MATH] .,A set constraint atom is a constraint of the form [MATH] .,Improve-grammar-Typo
1139,"[MATH] is the normalized masked proxy for class [MATH] , [MATH] is the previously learned 1x1 convolutional filter at resolution [MATH] , while [MATH] is the adapted one .","[MATH] is the normalized masked proxy for class [MATH] , [MATH] is the previously learned 1x1 convolutional filter at resolution [MATH] , while Here [MATH] is the adapted one .",Lang-professional-Improve-style
1140,"[MATH] is the normalized masked proxy for class [MATH] , [MATH] is the previously learned 1x1 convolutional filter at resolution [MATH] , while [MATH] is the adapted one .","[MATH] is the normalized masked proxy for class [MATH] , [MATH] is the previously learned 1x1 convolutional filter at resolution [MATH] , [MATH] is the adapted one .",Lang-improve-readability-Simplify
1141,"[MATH] is the normalized masked proxy for class [MATH] , [MATH] is the previously learned 1x1 convolutional filter at resolution [MATH] , while [MATH] is the adapted one .","[MATH] is the normalized masked proxy for class [MATH] , [MATH] is the previously learned 1x1 convolutional filter at resolution [MATH] , while [MATH] is the updated [MATH] .",Content
1142,"But transport of a physical charge around a non-trivial cycle does not leave the field strength invariant , and so the probe charge is an inadequate description .","But transport of a physical charge around a nontrivial cycle does not leave the field strength invariant , and so the probe charge is an inadequate description .",Improve-grammar-Typo
1143,"Already in 1988 Mellier et al. ( 1988 ) , by analysing the isopleths within a 2-D map of the cluster had suggested the existence of [MATH] density peaks ."," Under this respect , it is worth mentioning that Already in 1988 Mellier et al. ( 1988 ) , by analysing the isopleths within a 2-D map of the cluster had suggested the existence of [MATH] density peaks .",Content
1144,"Already in 1988 Mellier et al. ( 1988 ) , by analysing the isopleths within a 2-D map of the cluster had suggested the existence of [MATH] density peaks .","Already in 1988 Mellier et al. ( 1988 ) , by analysing the isopleths within a 2-D map of the cluster had suggested the possible existence of [MATH] density peaks .",Lang-accurate-spefific
1145,The above methods can not be trivially extended to continue adaptation whilst processing a continuous stream of data with multiple classes ., They can not be trivially extended to continue adaptation whilst processing a continuous stream of data with multiple classes .,Lang-other
1146,For a small number of coil activations ( see Fig. [REF] ) the random schemes outperform the deterministic scheme for the Smiley-phantom and tumor phantom .,For a small number of coil activations ( see Fig. [REF] ) the random schemes slightly outperform the deterministic scheme for the Smiley-phantom and tumor phantom .,Lang-accurate-spefific
1147,For a small number of coil activations ( see Fig. [REF] ) the random schemes outperform the deterministic scheme for the Smiley-phantom and tumor phantom .,For a small number of coil activations the random schemes outperform the deterministic scheme for the Smiley-phantom and tumor phantom .,Format
1148,For a small number of coil activations ( see Fig. [REF] ) the random schemes outperform the deterministic scheme for the Smiley-phantom and tumor phantom .,For a small number of coil activations ( see Fig. [REF] ) the random schemes outperform the deterministic scheme for the smiley-phantom and tumor phantom .,Improve-grammar-Typo
1149,Capturing the joint statistics of different components of the SOA likelihood is key to modeling intra-class variability of objects or scene categories .,Capturing the joint statistics of different components of the SOA likelihood is key to modeling intra-class variability of object or scene categories .,Improve-grammar-Typo
1150,The polarized neutron diffraction experiment we discuss here is very challenging [CITATION] .,The PND experiment we discuss here is very challenging [CITATION] .,Lang-professional-Improve-style
1151,All tests have been run using ideal ( i.e. synthetic and symmetric ) PSFs and kernels .,All tests were run using ideal ( i.e. synthetic and symmetric ) PSFs and kernels .,Improve-grammar-Typo
1152,"Using that reference , the minimum resolvable timing jitter of a fs-pulse train at an analysis frequency [MATH] is in 1Hz resolution bandwidth : [EQUATION]","Using this formalism , the minimum resolvable timing jitter of a fs-pulse train at an analysis frequency [MATH] is in 1Hz resolution bandwidth : [EQUATION]",Lang-accurate-spefific
1153,"Using that reference , the minimum resolvable timing jitter of a fs-pulse train at an analysis frequency [MATH] is in 1Hz resolution bandwidth : [EQUATION]","Using that reference , the minimum resolvable timing jitter of a fs-pulse train at an analysis frequency [MATH] is at 1Hz resolution bandwidth : [EQUATION]",Improve-grammar-Typo
1154,"Using that reference , the minimum resolvable timing jitter of a fs-pulse train at an analysis frequency [MATH] is in 1Hz resolution bandwidth : [EQUATION]","Using that reference , the minimum resolvable timing jitter of a fs-pulse train and an analysis frequency [MATH] is in 1Hz resolution bandwidth : [EQUATION]",Improve-grammar-Typo
1155,"Our approach makes use of the fact that the asymmetry depends in first order only on the shower geometry , which can be reconstructed independent from the LDF by arrival time measurements .","Our approach makes use of the fact that the asymmetry depends to first order only on the shower geometry , which can be reconstructed independent from the LDF by arrival time measurements .",Improve-grammar-Typo
1156,"Our approach makes use of the fact that the asymmetry depends in first order only on the shower geometry , which can be reconstructed independent from the LDF by arrival time measurements .","Our approach makes use of the fact that the asymmetry depends in first order only on the shower geometry , which can be reconstructed independently from the LDF by arrival time measurements .",Improve-grammar-Typo
1157,"Lartillot and Philippe ( 2006 ) discuss very similar ideas in the phylogenetics literature , although using Simpson 's rule for the numerical integration ; they use equally spaced temperatures between 0 and 1 .","Lartillot and Philippe ( 2006 ) discuss very similar ideas in the phylogenetics literature , although using Simpson 's rule for the numerical integration ; they use equally spaced inverse temperatures between 0 and 1 .",Content
1158,"Finally , by analyzing all arguments in this paper , the time-varying posterior matching scheme approach might be applied for other Gaussian and non-Gaussian multiuser channels to achieve optimal performances .","Finally , by analyzing all arguments in this paper in the theorem I , the time-varying posterior matching scheme approach might be applied for other Gaussian and non-Gaussian multiuser channels to achieve optimal performances .",Content
1159,One also defines the partial spectral functions [CITATION] : [EQUATION],One also defines the partial spectral functions as [CITATION] : [EQUATION],Improve-grammar-Typo
